Device: cuda
/home/hailong/miniforge3/envs/USEF-TFGridNet/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Generator params: 7.81M
Discriminator params: 70.72M
Starting training from step 0 (phase 1)
step    2800 | phase 1 | loss_G 10.1082 | sep 4.1158 | stft 1.6022 | l1 0.0787 | amp 0.3694 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.83 | rss 1392MB | 0.51s
step    2900 | phase 1 | loss_G 18.7842 | sep 11.5446 | stft 2.5931 | l1 0.0931 | amp 1.8907 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.99 | rss 1392MB | 0.51s
step    3000 | phase 1 | loss_G 12.0646 | sep 4.8290 | stft 1.9181 | l1 0.1195 | amp 0.4491 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.96 | rss 1392MB | 0.51s
step    3100 | phase 1 | loss_G 17.9464 | sep 9.8261 | stft 2.5999 | l1 0.0677 | amp 1.2818 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 3.00 | rss 1392MB | 0.51s
step    3200 | phase 1 | loss_G 14.6320 | sep 7.2210 | stft 2.1945 | l1 0.0983 | amp 0.7995 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.09 | rss 1392MB | 0.49s
step    3300 | phase 1 | loss_G 9.0480 | sep 4.5939 | stft 1.3407 | l1 0.0949 | amp 0.3849 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.86 | rss 1392MB | 0.51s
step    3400 | phase 1 | loss_G 15.1378 | sep 6.9022 | stft 2.3297 | l1 0.0761 | amp 0.7335 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.32 | rss 1392MB | 0.51s
step    3500 | phase 1 | loss_G 5.8559 | sep 1.1787 | stft 1.0464 | l1 0.0692 | amp 0.2266 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.23 | rss 1392MB | 0.51s
step    3600 | phase 1 | loss_G 11.6256 | sep 5.5008 | stft 1.7688 | l1 0.0626 | amp 0.5133 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.23 | rss 1392MB | 0.51s
step    3700 | phase 1 | loss_G 15.8411 | sep 7.5269 | stft 2.4076 | l1 0.0788 | amp 0.8055 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.65 | rss 1392MB | 0.51s
step    3800 | phase 1 | loss_G 20.3977 | sep 11.2897 | stft 2.9373 | l1 0.1328 | amp 1.6062 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 3.47 | rss 1392MB | 0.51s
step    3900 | phase 1 | loss_G 7.5512 | sep 3.2717 | stft 1.1740 | l1 0.0903 | amp 0.2930 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.58 | rss 1392MB | 0.51s
step    4000 | phase 1 | loss_G 14.4518 | sep 9.8836 | stft 1.8931 | l1 0.0895 | amp 1.2899 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.85 | rss 1392MB | 0.49s
step    4100 | phase 1 | loss_G 12.9550 | sep 7.3470 | stft 1.8465 | l1 0.0979 | amp 0.7448 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.16 | rss 1392MB | 0.51s
step    4200 | phase 1 | loss_G 16.2676 | sep 9.3482 | stft 2.3065 | l1 0.1221 | amp 1.0317 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.72 | rss 1392MB | 0.51s
